2023-06-22 21:31:44 [http-nio-8282-exec-2] INFO  [c.m.controllers.CategoryController] - createCategory method execution stated...
2023-06-22 21:31:44 [http-nio-8282-exec-2] INFO  [c.m.controllers.CategoryController] - createCategory CategoryDto(categoryId=9, categoryTitle=defence economy, categoryDescription=this category for defence development in india)
2023-06-22 21:31:44 [http-nio-8282-exec-2] INFO  [c.m.controllers.CategoryController] - createCategory method execution ended with response...
2023-06-22 21:32:55 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-06-22 21:32:58 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:37:41 [main] INFO  [com.mobisoft.BlogsAppApplication] - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:37:42 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - BlogsAppApplication.class log from BlogsAppApplication
2023-06-22 21:37:42 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Starting BlogsAppApplication using Java 17.0.5 on DESKTOP-3KL77O9 with PID 16796 (C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app\target\classes started by Sandip Kolhekar in C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app)
2023-06-22 21:37:42 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - No active profile set, falling back to 1 default profile: "default"
2023-06-22 21:37:43 [restartedMain] INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-22 21:37:43 [restartedMain] INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-22 21:37:46 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8282 (http)
2023-06-22 21:37:46 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 3233 ms
2023-06-22 21:37:51 [restartedMain] WARN  [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-22 21:37:52 [restartedMain] INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-06-22 21:37:53 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8282 (http) with context path ''
2023-06-22 21:37:53 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Started BlogsAppApplication in 10.893 seconds (JVM running for 12.656)
2023-06-22 21:38:38 [http-nio-8282-exec-1] INFO  [c.m.controllers.CategoryController] - getCategory method execution stated...
2023-06-22 21:38:39 [http-nio-8282-exec-1] INFO  [c.m.controllers.CategoryController] - getCategory with id: 2
2023-06-22 21:38:39 [http-nio-8282-exec-1] INFO  [c.m.controllers.CategoryController] - getCategory method execution ended with response...
2023-06-22 21:42:53 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-06-22 21:42:55 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Logging started for the BlogsAppApplication
2023-06-22 21:42:55 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Starting BlogsAppApplication using Java 17.0.5 on DESKTOP-3KL77O9 with PID 16796 (C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app\target\classes started by Sandip Kolhekar in C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app)
2023-06-22 21:42:55 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - No active profile set, falling back to 1 default profile: "default"
2023-06-22 21:42:56 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8282 (http)
2023-06-22 21:42:56 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 837 ms
2023-06-22 21:42:56 [restartedMain] WARN  [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-22 21:42:57 [restartedMain] INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-06-22 21:42:57 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8282 (http) with context path ''
2023-06-22 21:42:57 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Started BlogsAppApplication in 2.243 seconds (JVM running for 317.086)
2023-06-22 21:42:57 [restartedMain] INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2023-06-22 21:46:05 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-06-22 21:46:06 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Logging started for the BlogsAppApplication
2023-06-22 21:46:06 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - Starting BlogsAppApplication using Java 17.0.5 on DESKTOP-3KL77O9 with PID 16796 (C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app\target\classes started by Sandip Kolhekar in C:\Users\HP\OneDrive\Desktop\localdisk\java_project\blogs-app)
2023-06-22 21:46:06 [restartedMain] INFO  [com.mobisoft.BlogsAppApplication] - No active profile set, falling back to 1 default profile: "default"
2023-06-22 21:46:07 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8282 (http)
2023-06-22 21:46:07 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 940 ms
2023-06-22 21:46:08 [restartedMain] WARN  [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-06-22 21:46:08 [restartedMain] INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-06-22 21:46:09 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8282 (http) with context path ''
